audio_codec,audio_ext,audio_filesize,audio_format_id,display_id,duration,like_count,title,upload_date,video_codec,video_ext,video_filesize,video_format_id,video_fps,video_resolution,view_count
mp4a.40.2,m4a,9596532,140,jaOEY8iRo6c,593,306723,THIAGO VENTURA - O DIA QUE EU BROXEI,20170730,vp9,webm,138482493,248,30,1920x1080,6808771
mp4a.40.2,m4a,6279878,140,wvzLATU8M04,388,228692,THIAGO VENTURA - ESCOLA PUBLICA,20161107,avc1.640028,mp4,51261946,137,30,1920x1080,6803951
mp4a.40.2,m4a,10045670,140,Q2LDobhGHm4,621,351458,THIAGO VENTURA - INVEJA,20180716,vp9,webm,107294659,248,30,1920x1080,6003424
mp4a.40.2,m4a,11005022,140,NcAZdATqkxA,680,269475,THIAGO VENTURA - OPERAÇÃO NO JOELHO,20180205,vp9,webm,170057809,248,30,1920x1080,4827544
mp4a.40.2,m4a,6600005,140,ao2LuQwi4is,408,244422,THIAGO VENTURA - DEUS EXISTE,20180903,vp9,webm,74526981,248,30,1920x1080,2867452
mp4a.40.2,m4a,6760938,140,e8mvLIXoIug,426,235661,THIAGO VENTURA - MULHER COME MUITO,20170917,vp9,webm,46905149,248,30,1920x1080,4574480
mp4a.40.2,m4a,8080185,140,WIVVb87JPog,499,248791,THIAGO VENTURA - BENZETACIL,20180514,vp9,webm,74332973,248,30,1920x1080,4293212
mp4a.40.2,m4a,5845055,140,UpX_kurvAXM,361,286421,THIAGO VENTURA - CASAMENTO DO WHINDERSSON,20180304,vp9,webm,67771488,248,30,1920x1080,4184505
mp4a.40.2,m4a,11334585,140,IAzZnHwmBfc,700,253357,THIAGO VENTURA - MIAMI,20181022,avc1.640028,mp4,79831496,137,30,1920x1080,3782501
mp4a.40.2,m4a,6017423,140,EEFInk9wlzs,379,276695,THIAGO VENTURA - SOBRE CENSURA,20171022,vp9,webm,42216266,248,30,1920x1080,3220125
mp4a.40.2,m4a,4713780,140,h7VtMor4lL8,297,115159,THIAGO VENTURA - FRANÇA,20180528,vp9,webm,51105549,248,30,1920x1080,1382237
mp4a.40.2,m4a,6735991,140,2aaM63uawjo,416,231097,THIAGO VENTURA - SOBRE PIPA - Parte 2,20170827,vp9,webm,56815975,248,30,1920x1080,3617924
mp4a.40.2,m4a,3990281,140,XLK7E1aEOuM,251,186250,THIAGO VENTURA - VOCÊ TAMBÉM ODEIA BARATA?,20171001,vp9,webm,33493244,248,30,1920x1080,2765868
mp4a.40.2,m4a,2176143,140,-OUplnLYcxY,137,52594,THIAGO VENTURA - AMIGOS DE QUEBRADA 2,20160920,avc1.640028,mp4,17134287,137,24,1920x1080,1383259
mp4a.40.2,m4a,4191119,140,SXw_LK0hkcg,259,79761,THIAGO VENTURA - VIDEO DO IML,20170320,vp9,webm,45996115,248,30,1920x1080,1784252
